HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2016-12-31 23:00;2017-01-01 00:00;DK1;155,820007;20,959999
2016-12-31 22:00;2016-12-31 23:00;DK1;192,919998;25,950001
2016-12-31 21:00;2016-12-31 22:00;DK1;194,850006;26,209999
2016-12-31 20:00;2016-12-31 21:00;DK1;197,529999;26,570000
2016-12-31 19:00;2016-12-31 20:00;DK1;201,910004;27,160000
2016-12-31 18:00;2016-12-31 19:00;DK1;206,820007;27,820000
2016-12-31 17:00;2016-12-31 18:00;DK1;217,300003;29,230000
2016-12-31 16:00;2016-12-31 17:00;DK1;219,899994;29,580000
2016-12-31 15:00;2016-12-31 16:00;DK1;219,309998;29,500000
2016-12-31 14:00;2016-12-31 15:00;DK1;216,410004;29,110001
2016-12-31 13:00;2016-12-31 14:00;DK1;207,039993;27,850000
2016-12-31 12:00;2016-12-31 13:00;DK1;201,910004;27,160000
2016-12-31 11:00;2016-12-31 12:00;DK1;206,149994;27,730000
2016-12-31 10:00;2016-12-31 11:00;DK1;207,789993;27,950001
2016-12-31 09:00;2016-12-31 10:00;DK1;207,410004;27,900000
2016-12-31 08:00;2016-12-31 09:00;DK1;199,529999;26,840000
2016-12-31 07:00;2016-12-31 08:00;DK1;194,919998;26,219999
2016-12-31 06:00;2016-12-31 07:00;DK1;186,520004;25,090000
2016-12-31 05:00;2016-12-31 06:00;DK1;159,309998;21,430000
2016-12-31 04:00;2016-12-31 05:00;DK1;128,690002;17,309999
2016-12-31 03:00;2016-12-31 04:00;DK1;30,030001;4,040000
2016-12-31 02:00;2016-12-31 03:00;DK1;31,820000;4,280000
2016-12-31 01:00;2016-12-31 02:00;DK1;74,269997;9,990000
2016-12-31 00:00;2016-12-31 01:00;DK1;104,970001;14,120000
2016-12-30 23:00;2016-12-31 00:00;DK1;162,589996;21,870001
2016-12-30 22:00;2016-12-30 23:00;DK1;186,070007;25,030001
2016-12-30 21:00;2016-12-30 22:00;DK1;205,479996;27,639999
2016-12-30 20:00;2016-12-30 21:00;DK1;214,619995;28,870001
2016-12-30 19:00;2016-12-30 20:00;DK1;219,300003;29,500000
2016-12-30 18:00;2016-12-30 19:00;DK1;224,360001;30,180000
2016-12-30 17:00;2016-12-30 18:00;DK1;224,139999;30,150000
2016-12-30 16:00;2016-12-30 17:00;DK1;225,250000;30,299999
2016-12-30 15:00;2016-12-30 16:00;DK1;225,919998;30,389999
2016-12-30 14:00;2016-12-30 15:00;DK1;224,059998;30,139999
2016-12-30 13:00;2016-12-30 14:00;DK1;222,720001;29,959999
2016-12-30 12:00;2016-12-30 13:00;DK1;222,949997;29,990000
2016-12-30 11:00;2016-12-30 12:00;DK1;223,610001;30,080000
2016-12-30 10:00;2016-12-30 11:00;DK1;224,279999;30,170000
2016-12-30 09:00;2016-12-30 10:00;DK1;224,580002;30,209999
2016-12-30 08:00;2016-12-30 09:00;DK1;224,729996;30,230000
2016-12-30 07:00;2016-12-30 08:00;DK1;224,059998;30,139999
2016-12-30 06:00;2016-12-30 07:00;DK1;222,800003;29,969999
2016-12-30 05:00;2016-12-30 06:00;DK1;218,559998;29,400000
2016-12-30 04:00;2016-12-30 05:00;DK1;210,529999;28,320000
2016-12-30 03:00;2016-12-30 04:00;DK1;196,550003;26,440001
2016-12-30 02:00;2016-12-30 03:00;DK1;187,630005;25,240000
2016-12-30 01:00;2016-12-30 02:00;DK1;187,339996;25,200001
2016-12-30 00:00;2016-12-30 01:00;DK1;194,399994;26,150000
2016-12-29 23:00;2016-12-30 00:00;DK1;201,309998;27,080000
2016-12-29 22:00;2016-12-29 23:00;DK1;213,589996;28,730000
2016-12-29 21:00;2016-12-29 22:00;DK1;218,789993;29,430000
2016-12-29 20:00;2016-12-29 21:00;DK1;222,880005;29,980000
2016-12-29 19:00;2016-12-29 20:00;DK1;224,520004;30,200001
2016-12-29 18:00;2016-12-29 19:00;DK1;226,529999;30,469999
2016-12-29 17:00;2016-12-29 18:00;DK1;226,820007;30,510000
2016-12-29 16:00;2016-12-29 17:00;DK1;228,309998;30,709999
2016-12-29 15:00;2016-12-29 16:00;DK1;227,789993;30,639999
2016-12-29 14:00;2016-12-29 15:00;DK1;226,669998;30,490000
2016-12-29 13:00;2016-12-29 14:00;DK1;227,050003;30,540001
2016-12-29 12:00;2016-12-29 13:00;DK1;227,570007;30,610001
2016-12-29 11:00;2016-12-29 12:00;DK1;227,860001;30,650000
2016-12-29 10:00;2016-12-29 11:00;DK1;228,759995;30,770000
2016-12-29 09:00;2016-12-29 10:00;DK1;229,199997;30,830000
2016-12-29 08:00;2016-12-29 09:00;DK1;229,279999;30,840000
2016-12-29 07:00;2016-12-29 08:00;DK1;229,050003;30,809999
2016-12-29 06:00;2016-12-29 07:00;DK1;227,940002;30,660000
2016-12-29 05:00;2016-12-29 06:00;DK1;227,940002;30,660000
2016-12-29 04:00;2016-12-29 05:00;DK1;222,589996;29,940001
2016-12-29 03:00;2016-12-29 04:00;DK1;215,750000;29,020000
2016-12-29 02:00;2016-12-29 03:00;DK1;210,770004;28,350000
2016-12-29 01:00;2016-12-29 02:00;DK1;210,619995;28,330000
2016-12-29 00:00;2016-12-29 01:00;DK1;214,039993;28,790001
2016-12-28 23:00;2016-12-29 00:00;DK1;217,899994;29,309999
2016-12-28 22:00;2016-12-28 23:00;DK1;218,289993;29,360001
2016-12-28 21:00;2016-12-28 22:00;DK1;223,190002;30,020000
2016-12-28 20:00;2016-12-28 21:00;DK1;228,470001;30,730000
2016-12-28 19:00;2016-12-28 20:00;DK1;236,800003;31,850000
2016-12-28 18:00;2016-12-28 19:00;DK1;246,309998;33,130001
2016-12-28 17:00;2016-12-28 18:00;DK1;249,440002;33,549999
2016-12-28 16:00;2016-12-28 17:00;DK1;264,230011;35,540001
2016-12-28 15:00;2016-12-28 16:00;DK1;260,440002;35,029999
2016-12-28 14:00;2016-12-28 15:00;DK1;247,130005;33,240002
2016-12-28 13:00;2016-12-28 14:00;DK1;234,119995;31,490000
2016-12-28 12:00;2016-12-28 13:00;DK1;234,270004;31,510000
2016-12-28 11:00;2016-12-28 12:00;DK1;236,500000;31,809999
2016-12-28 10:00;2016-12-28 11:00;DK1;234,789993;31,580000
2016-12-28 09:00;2016-12-28 10:00;DK1;235,240005;31,639999
2016-12-28 08:00;2016-12-28 09:00;DK1;233,449997;31,400000
2016-12-28 07:00;2016-12-28 08:00;DK1;250,850006;33,740002
2016-12-28 06:00;2016-12-28 07:00;DK1;238,429993;32,070000
2016-12-28 05:00;2016-12-28 06:00;DK1;223,039993;30,000000
2016-12-28 04:00;2016-12-28 05:00;DK1;208,839996;28,090000
2016-12-28 03:00;2016-12-28 04:00;DK1;171,070007;23,010000
2016-12-28 02:00;2016-12-28 03:00;DK1;150,779999;20,280001
2016-12-28 01:00;2016-12-28 02:00;DK1;164,309998;22,100000
2016-12-28 00:00;2016-12-28 01:00;DK1;158,210007;21,280001
2016-12-27 23:00;2016-12-28 00:00;DK1;162,080002;21,799999
2016-12-27 22:00;2016-12-27 23:00;DK1;101,919998;13,710000
2016-12-27 21:00;2016-12-27 22:00;DK1;200,789993;27,010000
2016-12-27 20:00;2016-12-27 21:00;DK1;211,869995;28,500000
2016-12-27 19:00;2016-12-27 20:00;DK1;217,149994;29,209999
2016-12-27 18:00;2016-12-27 19:00;DK1;218,929993;29,450001
2016-12-27 17:00;2016-12-27 18:00;DK1;220,720001;29,690001
2016-12-27 16:00;2016-12-27 17:00;DK1;221,240005;29,760000
2016-12-27 15:00;2016-12-27 16:00;DK1;219,899994;29,580000
2016-12-27 14:00;2016-12-27 15:00;DK1;156,410004;21,040001
2016-12-27 13:00;2016-12-27 14:00;DK1;102,290001;13,760000
2016-12-27 12:00;2016-12-27 13:00;DK1;102,220001;13,750000
2016-12-27 11:00;2016-12-27 12:00;DK1;79,400002;10,680000
2016-12-27 10:00;2016-12-27 11:00;DK1;79,099998;10,640000
2016-12-27 09:00;2016-12-27 10:00;DK1;79,019997;10,630000
2016-12-27 08:00;2016-12-27 09:00;DK1;90,470001;12,170000
2016-12-27 07:00;2016-12-27 08:00;DK1;101,849998;13,700000
2016-12-27 06:00;2016-12-27 07:00;DK1;65,199997;8,770000
2016-12-27 05:00;2016-12-27 06:00;DK1;-90,320000;-12,150000
2016-12-27 04:00;2016-12-27 05:00;DK1;-173,660004;-23,360001
2016-12-27 03:00;2016-12-27 04:00;DK1;-373,109985;-50,189999
2016-12-27 02:00;2016-12-27 03:00;DK1;-398,609985;-53,619999
2016-12-27 01:00;2016-12-27 02:00;DK1;-298,700012;-40,180000
2016-12-27 00:00;2016-12-27 01:00;DK1;-185,259995;-24,920000
2016-12-26 23:00;2016-12-27 00:00;DK1;-96,639999;-13,000000
2016-12-26 22:00;2016-12-26 23:00;DK1;-99,169998;-13,340000
2016-12-26 21:00;2016-12-26 22:00;DK1;32,639999;4,390000
2016-12-26 20:00;2016-12-26 21:00;DK1;-6,760000;-0,910000
2016-12-26 19:00;2016-12-26 20:00;DK1;61,849998;8,320000
2016-12-26 18:00;2016-12-26 19:00;DK1;79,470001;10,690000
2016-12-26 17:00;2016-12-26 18:00;DK1;71,959999;9,680000
2016-12-26 16:00;2016-12-26 17:00;DK1;65,269997;8,780000
2016-12-26 15:00;2016-12-26 16:00;DK1;-22,150000;-2,980000
2016-12-26 14:00;2016-12-26 15:00;DK1;-50,110001;-6,740000
2016-12-26 13:00;2016-12-26 14:00;DK1;-98,949997;-13,310000
2016-12-26 12:00;2016-12-26 13:00;DK1;-49,880001;-6,710000
2016-12-26 11:00;2016-12-26 12:00;DK1;7,810000;1,050000
2016-12-26 10:00;2016-12-26 11:00;DK1;43,639999;5,870000
2016-12-26 09:00;2016-12-26 10:00;DK1;0,820000;0,110000
2016-12-26 08:00;2016-12-26 09:00;DK1;-22,900000;-3,080000
2016-12-26 07:00;2016-12-26 08:00;DK1;-111,580002;-15,010000
2016-12-26 06:00;2016-12-26 07:00;DK1;-112,099998;-15,080000
2016-12-26 05:00;2016-12-26 06:00;DK1;-195,369995;-26,280001
2016-12-26 04:00;2016-12-26 05:00;DK1;-298,850006;-40,200001
2016-12-26 03:00;2016-12-26 04:00;DK1;-111,879997;-15,050000
2016-12-26 02:00;2016-12-26 03:00;DK1;-119,610001;-16,090000
2016-12-26 01:00;2016-12-26 02:00;DK1;-110,769997;-14,900000
2016-12-26 00:00;2016-12-26 01:00;DK1;-73,750000;-9,920000
2016-12-25 23:00;2016-12-26 00:00;DK1;0,300000;0,040000
2016-12-25 22:00;2016-12-25 23:00;DK1;-21,930000;-2,950000
2016-12-25 21:00;2016-12-25 22:00;DK1;0,970000;0,130000
2016-12-25 20:00;2016-12-25 21:00;DK1;73,889999;9,940000
2016-12-25 19:00;2016-12-25 20:00;DK1;79,320000;10,670000
